Dataset,Caso,Parámetros,Accuracy,Precision,Recall,F1-Score
dataset_CC(SI)_ED(NO)_BAL(NO)_OUT(NO).csv,Caso 1,"{'max_depth': 3, 'criterion': 'gini'}",0.5283018867924528,0.39745560088319304,0.3758771389681099,0.37418298017494217
dataset_CC(SI)_ED(NO)_BAL(NO)_OUT(NO).csv,Caso 2,"{'max_depth': 5, 'criterion': 'entropy'}",0.5367924528301887,0.4003052225590167,0.3752517068533402,0.36902389082720904
dataset_CC(SI)_ED(NO)_BAL(NO)_OUT(NO).csv,Caso 3,"{'max_depth': None, 'criterion': 'gini'}",0.5773584905660377,0.5045519156454729,0.5011458556436068,0.5011742799747715
dataset_CC(SI)_ED(NO)_BAL(NO)_OUT(SI).csv,Caso 1,"{'max_depth': 3, 'criterion': 'gini'}",0.39776536312849164,0.15901116427432216,0.27384615384615385,0.19303843862123365
dataset_CC(SI)_ED(NO)_BAL(NO)_OUT(SI).csv,Caso 2,"{'max_depth': 5, 'criterion': 'entropy'}",0.38100558659217876,0.18187700800941217,0.2624691358024691,0.19354560789757946
dataset_CC(SI)_ED(NO)_BAL(NO)_OUT(SI).csv,Caso 3,"{'max_depth': None, 'criterion': 'gini'}",0.30837988826815643,0.20775621242927578,0.2208970871494412,0.20234863838223696
dataset_CC(SI)_ED(NO)_BAL(SI)_OUT(NO).csv,Caso 1,"{'max_depth': 3, 'criterion': 'gini'}",0.46108427267847557,0.4418471495024419,0.46464414791760755,0.4376418267974852
dataset_CC(SI)_ED(NO)_BAL(SI)_OUT(NO).csv,Caso 2,"{'max_depth': 5, 'criterion': 'entropy'}",0.5169082125603864,0.5042023521400727,0.5189772385267714,0.5081396281409009
dataset_CC(SI)_ED(NO)_BAL(SI)_OUT(NO).csv,Caso 3,"{'max_depth': None, 'criterion': 'gini'}",0.8244766505636071,0.8175992007300725,0.8257734833376783,0.8195364970132497
dataset_CC(SI)_ED(NO)_BAL(SI)_OUT(SI).csv,Caso 1,"{'max_depth': 3, 'criterion': 'gini'}",0.5104895104895105,0.49415140769774396,0.5139166032568181,0.490889381494083
dataset_CC(SI)_ED(NO)_BAL(SI)_OUT(SI).csv,Caso 2,"{'max_depth': 5, 'criterion': 'entropy'}",0.5384615384615384,0.5166704879511252,0.5431667664535627,0.5153193314186013
dataset_CC(SI)_ED(NO)_BAL(SI)_OUT(SI).csv,Caso 3,"{'max_depth': None, 'criterion': 'gini'}",0.8225524475524476,0.81734210927875,0.8242970920015873,0.8182139009431098
dataset_CC(SI)_ED(SI)_BAL(NO)_OUT(NO).csv,Caso 1,"{'max_depth': 3, 'criterion': 'gini'}",0.5283018867924528,0.39745560088319304,0.3758771389681099,0.37418298017494217
dataset_CC(SI)_ED(SI)_BAL(NO)_OUT(NO).csv,Caso 2,"{'max_depth': 5, 'criterion': 'entropy'}",0.5367924528301887,0.4003052225590167,0.3752517068533402,0.36902389082720904
dataset_CC(SI)_ED(SI)_BAL(NO)_OUT(NO).csv,Caso 3,"{'max_depth': None, 'criterion': 'gini'}",0.5726415094339623,0.5004530926067506,0.49759133356254204,0.4977246483791951
dataset_CC(SI)_ED(SI)_BAL(NO)_OUT(SI).csv,Caso 1,"{'max_depth': 3, 'criterion': 'gini'}",0.5384615384615384,0.4047134358228811,0.38995238095238094,0.3893273808152973
dataset_CC(SI)_ED(SI)_BAL(NO)_OUT(SI).csv,Caso 2,"{'max_depth': 5, 'criterion': 'entropy'}",0.5196232339089482,0.6657944219110836,0.38413240418118466,0.3947218653325827
dataset_CC(SI)_ED(SI)_BAL(NO)_OUT(SI).csv,Caso 3,"{'max_depth': None, 'criterion': 'gini'}",0.5839874411302983,0.5033277626362109,0.5068118466898954,0.5042886586452763
dataset_CC(SI)_ED(SI)_BAL(SI)_OUT(NO).csv,Caso 1,"{'max_depth': 3, 'criterion': 'gini'}",0.46108427267847557,0.4418471495024419,0.46464414791760755,0.4376418267974852
dataset_CC(SI)_ED(SI)_BAL(SI)_OUT(NO).csv,Caso 2,"{'max_depth': 5, 'criterion': 'entropy'}",0.5169082125603864,0.5042023521400727,0.5189772385267714,0.5081396281409009
dataset_CC(SI)_ED(SI)_BAL(SI)_OUT(NO).csv,Caso 3,"{'max_depth': None, 'criterion': 'gini'}",0.8239398819108964,0.8172687421242948,0.8252128182082448,0.8192288182576145
dataset_CC(SI)_ED(SI)_BAL(SI)_OUT(SI).csv,Caso 1,"{'max_depth': 3, 'criterion': 'gini'}",0.5104895104895105,0.49415140769774396,0.5139166032568181,0.490889381494083
dataset_CC(SI)_ED(SI)_BAL(SI)_OUT(SI).csv,Caso 2,"{'max_depth': 5, 'criterion': 'entropy'}",0.5384615384615384,0.5166704879511252,0.5431667664535627,0.5153193314186013
dataset_CC(SI)_ED(SI)_BAL(SI)_OUT(SI).csv,Caso 3,"{'max_depth': None, 'criterion': 'gini'}",0.8216783216783217,0.816417718670341,0.823391294900138,0.8173507480700422
