Dataset,Caso,Parámetros,Silhouette
dataset_CC(SI)_ED(SI)_OUT(NO)_BAL(NO),1,"ε=0.9, MinPts=3",0.2895102025601575
dataset_CC(SI)_ED(SI)_OUT(NO)_BAL(NO),2,"ε=0.9, MinPts=3",0.2895102025601575
dataset_CC(SI)_ED(SI)_OUT(NO)_BAL(NO),3,"ε=0.9, MinPts=3",0.2895102025601575
dataset_CC(SI)_ED(SI)_OUT(NO)_BAL(SI),1,"ε=0.9, MinPts=3",0.2895102025601575
dataset_CC(SI)_ED(SI)_OUT(NO)_BAL(SI),2,"ε=0.9, MinPts=3",0.2895102025601575
dataset_CC(SI)_ED(SI)_OUT(NO)_BAL(SI),3,"ε=0.9, MinPts=3",0.2895102025601575
dataset_CC(SI)_ED(SI)_OUT(SI)_BAL(NO),1,"ε=1.2, MinPts=3",0.34137014394419574
dataset_CC(SI)_ED(SI)_OUT(SI)_BAL(NO),2,"ε=1.2, MinPts=3",0.34137014394419574
dataset_CC(SI)_ED(SI)_OUT(SI)_BAL(NO),3,"ε=1.2, MinPts=3",0.34137014394419574
dataset_CC(SI)_ED(SI)_OUT(SI)_BAL(SI),1,"ε=1.2, MinPts=3",0.34137014394419574
dataset_CC(SI)_ED(SI)_OUT(SI)_BAL(SI),2,"ε=1.2, MinPts=3",0.34137014394419574
dataset_CC(SI)_ED(SI)_OUT(SI)_BAL(SI),3,"ε=1.2, MinPts=3",0.34137014394419574
dataset_CC(NO)_ED(NO)_OUT(NO)_BAL(NO),1,"ε=0.9, MinPts=3",0.28951020296104507
dataset_CC(NO)_ED(NO)_OUT(NO)_BAL(NO),2,"ε=0.9, MinPts=3",0.28951020296104507
dataset_CC(NO)_ED(NO)_OUT(NO)_BAL(NO),3,"ε=0.9, MinPts=3",0.28951020296104507
dataset_CC(NO)_ED(NO)_OUT(NO)_BAL(SI),1,"ε=0.9, MinPts=3",0.28951020296104507
dataset_CC(NO)_ED(NO)_OUT(NO)_BAL(SI),2,"ε=0.9, MinPts=3",0.28951020296104507
dataset_CC(NO)_ED(NO)_OUT(NO)_BAL(SI),3,"ε=0.9, MinPts=3",0.28951020296104507
dataset_CC(NO)_ED(NO)_OUT(SI)_BAL(NO),1,"ε=1.2, MinPts=3",0.34137014303903995
dataset_CC(NO)_ED(NO)_OUT(SI)_BAL(NO),2,"ε=1.2, MinPts=3",0.34137014303903995
dataset_CC(NO)_ED(NO)_OUT(SI)_BAL(NO),3,"ε=1.2, MinPts=3",0.34137014303903995
dataset_CC(NO)_ED(NO)_OUT(SI)_BAL(SI),1,"ε=1.2, MinPts=3",0.34137014303903995
dataset_CC(NO)_ED(NO)_OUT(SI)_BAL(SI),2,"ε=1.2, MinPts=3",0.34137014303903995
dataset_CC(NO)_ED(NO)_OUT(SI)_BAL(SI),3,"ε=1.2, MinPts=3",0.34137014303903995
