Dataset,Caso,Parámetros,Inertia,Silhouette
dataset_CC(SI)_ED(SI)_OUT(NO)_BAL(NO),1,k=2,57214.471,0.32105530414322914
dataset_CC(SI)_ED(SI)_OUT(NO)_BAL(NO),2,k=3,46815.789,0.22524187481691987
dataset_CC(SI)_ED(SI)_OUT(NO)_BAL(NO),3,k=2,57214.471,0.32105530414322914
dataset_CC(SI)_ED(SI)_OUT(NO)_BAL(SI),1,k=2,57214.471,0.32105530414322914
dataset_CC(SI)_ED(SI)_OUT(NO)_BAL(SI),2,k=3,46815.789,0.22524187481691987
dataset_CC(SI)_ED(SI)_OUT(NO)_BAL(SI),3,k=2,57214.471,0.32105530414322914
dataset_CC(SI)_ED(SI)_OUT(SI)_BAL(NO),1,k=2,41989.44,0.19284499634058708
dataset_CC(SI)_ED(SI)_OUT(SI)_BAL(NO),2,k=2,41989.903,0.19289937836746118
dataset_CC(SI)_ED(SI)_OUT(SI)_BAL(NO),3,k=2,41989.44,0.19284499634058708
dataset_CC(SI)_ED(SI)_OUT(SI)_BAL(SI),1,k=2,41989.44,0.19284499634058708
dataset_CC(SI)_ED(SI)_OUT(SI)_BAL(SI),2,k=2,41989.903,0.19289937836746118
dataset_CC(SI)_ED(SI)_OUT(SI)_BAL(SI),3,k=2,41989.44,0.19284499634058708
dataset_CC(NO)_ED(NO)_OUT(NO)_BAL(NO),1,k=2,57214.471,0.32105530414165634
dataset_CC(NO)_ED(NO)_OUT(NO)_BAL(NO),2,k=3,46815.789,0.22524187481587118
dataset_CC(NO)_ED(NO)_OUT(NO)_BAL(NO),3,k=2,57214.471,0.32105530414165634
dataset_CC(NO)_ED(NO)_OUT(NO)_BAL(SI),1,k=2,57214.471,0.32105530414165634
dataset_CC(NO)_ED(NO)_OUT(NO)_BAL(SI),2,k=3,46815.789,0.22524187481587118
dataset_CC(NO)_ED(NO)_OUT(NO)_BAL(SI),3,k=2,57214.471,0.32105530414165634
dataset_CC(NO)_ED(NO)_OUT(SI)_BAL(NO),1,k=2,41989.44,0.19284499633814972
dataset_CC(NO)_ED(NO)_OUT(SI)_BAL(NO),2,k=2,41989.903,0.19289937836505205
dataset_CC(NO)_ED(NO)_OUT(SI)_BAL(NO),3,k=2,41989.44,0.19284499633814972
dataset_CC(NO)_ED(NO)_OUT(SI)_BAL(SI),1,k=2,41989.44,0.19284499633814972
dataset_CC(NO)_ED(NO)_OUT(SI)_BAL(SI),2,k=2,41989.903,0.19289937836505205
dataset_CC(NO)_ED(NO)_OUT(SI)_BAL(SI),3,k=2,41989.44,0.19284499633814972
