Dataset,Caso,Parámetros,Accuracy,Precision,Recall,F1-Score
dataset_CC(SI)_ED(NO)_BAL(NO)_OUT(NO).csv,Caso 1,"{'n_neighbors': 3, 'weights': 'uniform'}",0.4641509433962264,0.3810673564730269,0.3828748031999038,0.37932925785225297
dataset_CC(SI)_ED(NO)_BAL(NO)_OUT(NO).csv,Caso 2,"{'n_neighbors': 5, 'weights': 'distance'}",0.5679245283018868,0.49562778001730834,0.44066485084525403,0.4451410877193409
dataset_CC(SI)_ED(NO)_BAL(NO)_OUT(NO).csv,Caso 3,"{'n_neighbors': 7, 'weights': 'uniform'}",0.47924528301886793,0.3751632614515372,0.35977742801531565,0.36074036375305957
dataset_CC(SI)_ED(NO)_BAL(NO)_OUT(SI).csv,Caso 1,"{'n_neighbors': 3, 'weights': 'uniform'}",0.33773087071240104,0.23894276236530115,0.23680452545568825,0.23598409741167076
dataset_CC(SI)_ED(NO)_BAL(NO)_OUT(SI).csv,Caso 2,"{'n_neighbors': 5, 'weights': 'distance'}",0.34564643799472294,0.22188250300120047,0.227120050282841,0.22261758426602835
dataset_CC(SI)_ED(NO)_BAL(NO)_OUT(SI).csv,Caso 3,"{'n_neighbors': 7, 'weights': 'uniform'}",0.3720316622691293,0.21991203241203242,0.23260119421747327,0.2207309077245208
dataset_CC(SI)_ED(NO)_BAL(SI)_OUT(NO).csv,Caso 1,"{'n_neighbors': 3, 'weights': 'uniform'}",0.7208803005904455,0.709163916826563,0.7227352899270887,0.706363945615093
dataset_CC(SI)_ED(NO)_BAL(SI)_OUT(NO).csv,Caso 2,"{'n_neighbors': 5, 'weights': 'distance'}",0.7917337627482555,0.7901244649142558,0.7940682851886299,0.7808360917535828
dataset_CC(SI)_ED(NO)_BAL(SI)_OUT(NO).csv,Caso 3,"{'n_neighbors': 7, 'weights': 'uniform'}",0.6323134728931831,0.6123224487918495,0.6330616768785962,0.6097486227009242
dataset_CC(SI)_ED(NO)_BAL(SI)_OUT(SI).csv,Caso 1,"{'n_neighbors': 3, 'weights': 'uniform'}",0.7211538461538461,0.7116337560557543,0.7239288683559133,0.7100251410904944
dataset_CC(SI)_ED(NO)_BAL(SI)_OUT(SI).csv,Caso 2,"{'n_neighbors': 5, 'weights': 'distance'}",0.7770979020979021,0.7722495086214598,0.7791191920337094,0.7664051098803102
dataset_CC(SI)_ED(NO)_BAL(SI)_OUT(SI).csv,Caso 3,"{'n_neighbors': 7, 'weights': 'uniform'}",0.6346153846153846,0.6151734732609451,0.6374780341250497,0.6151070779327719
dataset_CC(SI)_ED(SI)_BAL(NO)_OUT(NO).csv,Caso 1,"{'n_neighbors': 3, 'weights': 'uniform'}",0.5952830188679246,0.5184628281895399,0.5116990283053962,0.5099989180865732
dataset_CC(SI)_ED(SI)_BAL(NO)_OUT(NO).csv,Caso 2,"{'n_neighbors': 5, 'weights': 'distance'}",0.6641509433962264,0.6471126692537172,0.5638938683853562,0.5796138033659299
dataset_CC(SI)_ED(SI)_BAL(NO)_OUT(NO).csv,Caso 3,"{'n_neighbors': 7, 'weights': 'uniform'}",0.5886792452830188,0.5501057336069267,0.4752516833688418,0.482364338131662
dataset_CC(SI)_ED(SI)_BAL(NO)_OUT(SI).csv,Caso 1,"{'n_neighbors': 3, 'weights': 'uniform'}",0.5588697017268446,0.43865508569019007,0.4443809523809524,0.4410075047815115
dataset_CC(SI)_ED(SI)_BAL(NO)_OUT(SI).csv,Caso 2,"{'n_neighbors': 5, 'weights': 'distance'}",0.6530612244897959,0.4951060098836283,0.49935888501742165,0.49702504736893505
dataset_CC(SI)_ED(SI)_BAL(NO)_OUT(SI).csv,Caso 3,"{'n_neighbors': 7, 'weights': 'uniform'}",0.5384615384615384,0.40221347490546094,0.39907200929152153,0.3995623778029337
dataset_CC(SI)_ED(SI)_BAL(SI)_OUT(NO).csv,Caso 1,"{'n_neighbors': 3, 'weights': 'uniform'}",0.7530864197530864,0.7412775510292391,0.7546933602026321,0.7431438067897284
dataset_CC(SI)_ED(SI)_BAL(SI)_OUT(NO).csv,Caso 2,"{'n_neighbors': 5, 'weights': 'distance'}",0.8180354267310789,0.8128973517027005,0.8201223148796783,0.8095109126373019
dataset_CC(SI)_ED(SI)_BAL(SI)_OUT(NO).csv,Caso 3,"{'n_neighbors': 7, 'weights': 'uniform'}",0.6881374127750939,0.6689968703791519,0.6896378840270793,0.6710124130466998
dataset_CC(SI)_ED(SI)_BAL(SI)_OUT(SI).csv,Caso 1,"{'n_neighbors': 3, 'weights': 'uniform'}",0.7692307692307693,0.7617900324315516,0.7722715076620752,0.7586014302498442
dataset_CC(SI)_ED(SI)_BAL(SI)_OUT(SI).csv,Caso 2,"{'n_neighbors': 5, 'weights': 'distance'}",0.8225524475524476,0.8231409843849948,0.8245337565897625,0.8137457698277442
dataset_CC(SI)_ED(SI)_BAL(SI)_OUT(SI).csv,Caso 3,"{'n_neighbors': 7, 'weights': 'uniform'}",0.6975524475524476,0.682598210872942,0.7004511271091963,0.6815380572544882
