Dataset,Caso,Arquitectura,Accuracy,Precision,Recall,F1-Score
dataset_CC(SI)_ED(NO)_BAL(NO)_OUT(NO).csv,Caso 1,Red pequeña con L2 y Dropout(0.3),0.5877358490566038,0.697303576457336,0.4445806748881198,0.45467664640843686
dataset_CC(SI)_ED(NO)_BAL(NO)_OUT(NO).csv,Caso 2,Red mediana con L1 y Dropout(0.4),0.5886792452830188,0.6996768880210773,0.4391715490938741,0.4440747549768456
dataset_CC(SI)_ED(NO)_BAL(NO)_OUT(NO).csv,Caso 3,Red compacta con L1/L2 y Dropout(0.2),0.5745283018867925,0.434388721067345,0.414824885489586,0.40932732077518996
dataset_CC(SI)_ED(NO)_BAL(NO)_OUT(SI).csv,Caso 1,Red pequeña con L2 y Dropout(0.3),0.43535620052770446,0.18901477832512315,0.2447441860465116,0.17864606657710108
dataset_CC(SI)_ED(NO)_BAL(NO)_OUT(SI).csv,Caso 2,Red mediana con L1 y Dropout(0.4),0.44327176781002636,0.19908637873754154,0.2507441860465116,0.18866279069767442
dataset_CC(SI)_ED(NO)_BAL(NO)_OUT(SI).csv,Caso 3,Red compacta con L1/L2 y Dropout(0.2),0.45910290237467016,0.21559888579387188,0.25727906976744186,0.18389505812065718
dataset_CC(SI)_ED(NO)_BAL(SI)_OUT(NO).csv,Caso 1,Red pequeña con L2 y Dropout(0.3),0.5437466451959205,0.5318293831328706,0.5464085702760508,0.5353563176012123
dataset_CC(SI)_ED(NO)_BAL(SI)_OUT(NO).csv,Caso 2,Red mediana con L1 y Dropout(0.4),0.583467525496511,0.5718252480724973,0.5848734452664178,0.5763757448027171
dataset_CC(SI)_ED(NO)_BAL(SI)_OUT(NO).csv,Caso 3,Red compacta con L1/L2 y Dropout(0.2),0.5405260332796564,0.5302156403341778,0.5439308911179359,0.5279444356634808
dataset_CC(SI)_ED(NO)_BAL(SI)_OUT(SI).csv,Caso 1,Red pequeña con L2 y Dropout(0.3),0.5743006993006993,0.5609551614739661,0.5754290267598526,0.5552759874989535
dataset_CC(SI)_ED(NO)_BAL(SI)_OUT(SI).csv,Caso 2,Red mediana con L1 y Dropout(0.4),0.5987762237762237,0.580709713896757,0.6009202737871066,0.5735082501967035
dataset_CC(SI)_ED(NO)_BAL(SI)_OUT(SI).csv,Caso 3,Red compacta con L1/L2 y Dropout(0.2),0.5515734265734266,0.5373373548991481,0.5530729795291355,0.5262449802267654
dataset_CC(SI)_ED(SI)_BAL(NO)_OUT(NO).csv,Caso 1,Red pequeña con L2 y Dropout(0.3),0.5745283018867925,0.4343904120297332,0.43158424077434965,0.4268310261457676
dataset_CC(SI)_ED(SI)_BAL(NO)_OUT(NO).csv,Caso 2,Red mediana con L1 y Dropout(0.4),0.5792452830188679,0.7086529941992117,0.4221895466740314,0.4281314417827842
dataset_CC(SI)_ED(SI)_BAL(NO)_OUT(NO).csv,Caso 3,Red compacta con L1/L2 y Dropout(0.2),0.560377358490566,0.42270218905001755,0.4245507626825685,0.41951174868844
dataset_CC(SI)_ED(SI)_BAL(NO)_OUT(SI).csv,Caso 1,Red pequeña con L2 y Dropout(0.3),0.5416012558869702,0.4498148491496966,0.3607897793263647,0.3570639944972222
dataset_CC(SI)_ED(SI)_BAL(NO)_OUT(SI).csv,Caso 2,Red mediana con L1 y Dropout(0.4),0.5510204081632653,0.4331337882903015,0.3832473867595819,0.3860499272912093
dataset_CC(SI)_ED(SI)_BAL(NO)_OUT(SI).csv,Caso 3,Red compacta con L1/L2 y Dropout(0.2),0.49293563579277866,0.2500431685732787,0.31120789779326363,0.2759236834138444
dataset_CC(SI)_ED(SI)_BAL(SI)_OUT(NO).csv,Caso 1,Red pequeña con L2 y Dropout(0.3),0.5646806226516371,0.5468909480456379,0.5674607579240504,0.5514136255798748
dataset_CC(SI)_ED(SI)_BAL(SI)_OUT(NO).csv,Caso 2,Red mediana con L1 y Dropout(0.4),0.5689747718733226,0.5516729499240873,0.5720957446020402,0.5521548099994619
dataset_CC(SI)_ED(SI)_BAL(SI)_OUT(NO).csv,Caso 3,Red compacta con L1/L2 y Dropout(0.2),0.549651100375738,0.5321147729834994,0.5525731541142693,0.5348136223398814
dataset_CC(SI)_ED(SI)_BAL(SI)_OUT(SI).csv,Caso 1,Red pequeña con L2 y Dropout(0.3),0.5812937062937062,0.5641789920653447,0.5838433791911704,0.56270580542614
dataset_CC(SI)_ED(SI)_BAL(SI)_OUT(SI).csv,Caso 2,Red mediana con L1 y Dropout(0.4),0.6075174825174825,0.5932013640155258,0.6098327452319863,0.5859786851827008
dataset_CC(SI)_ED(SI)_BAL(SI)_OUT(SI).csv,Caso 3,Red compacta con L1/L2 y Dropout(0.2),0.5594405594405595,0.54858092298309,0.5620815743048261,0.5407516362592555
