Dataset,Caso,Parámetros,Accuracy,Precision,Recall,F1-Score
dataset_CC(SI)_ED(NO)_BAL(NO)_OUT(NO).csv,Caso 1,"{'kernel': 'linear', 'C': 1}",0.5358490566037736,0.27083848862662985,0.34750156641604013,0.3038465692274462
dataset_CC(SI)_ED(NO)_BAL(NO)_OUT(NO).csv,Caso 2,"{'kernel': 'rbf', 'C': 1}",0.589622641509434,0.7061384312990143,0.43570833239395346,0.446846585617772
dataset_CC(SI)_ED(NO)_BAL(NO)_OUT(NO).csv,Caso 3,"{'kernel': 'poly', 'C': 0.5, 'degree': 3}",0.5443396226415095,0.5645511252093077,0.37762567964138233,0.38683648998983744
dataset_CC(SI)_ED(NO)_BAL(NO)_OUT(SI).csv,Caso 1,"{'kernel': 'linear', 'C': 1}",0.45382585751978893,0.11345646437994723,0.25,0.1560798548094374
dataset_CC(SI)_ED(NO)_BAL(NO)_OUT(SI).csv,Caso 2,"{'kernel': 'rbf', 'C': 1}",0.44327176781002636,0.20362585391487126,0.2507441860465116,0.1885538341234544
dataset_CC(SI)_ED(NO)_BAL(NO)_OUT(SI).csv,Caso 3,"{'kernel': 'poly', 'C': 0.5, 'degree': 3}",0.44591029023746703,0.20551872895622897,0.2511046511627907,0.18461229409401364
dataset_CC(SI)_ED(NO)_BAL(SI)_OUT(NO).csv,Caso 1,"{'kernel': 'linear', 'C': 1}",0.5040257648953301,0.48836016401439414,0.507671504420774,0.4896914523080683
dataset_CC(SI)_ED(NO)_BAL(SI)_OUT(NO).csv,Caso 2,"{'kernel': 'rbf', 'C': 1}",0.6183574879227053,0.6063197316705562,0.6209242005558225,0.6098802001691859
dataset_CC(SI)_ED(NO)_BAL(SI)_OUT(NO).csv,Caso 3,"{'kernel': 'poly', 'C': 0.5, 'degree': 3}",0.5786366076221149,0.5927564095813154,0.5795189807412056,0.5846830397241563
dataset_CC(SI)_ED(NO)_BAL(SI)_OUT(SI).csv,Caso 1,"{'kernel': 'linear', 'C': 1}",0.5367132867132867,0.5287433084733693,0.5374229306563136,0.519192824417326
dataset_CC(SI)_ED(NO)_BAL(SI)_OUT(SI).csv,Caso 2,"{'kernel': 'rbf', 'C': 1}",0.6730769230769231,0.6588638636670917,0.676354136453029,0.6588112952433707
dataset_CC(SI)_ED(NO)_BAL(SI)_OUT(SI).csv,Caso 3,"{'kernel': 'poly', 'C': 0.5, 'degree': 3}",0.6048951048951049,0.6169684658484184,0.6073395313615664,0.608776753946185
dataset_CC(SI)_ED(SI)_BAL(NO)_OUT(NO).csv,Caso 1,"{'kernel': 'linear', 'C': 1}",0.5358490566037736,0.27083848862662985,0.34750156641604013,0.3038465692274462
dataset_CC(SI)_ED(SI)_BAL(NO)_OUT(NO).csv,Caso 2,"{'kernel': 'rbf', 'C': 1}",0.589622641509434,0.7061384312990143,0.43570833239395346,0.446846585617772
dataset_CC(SI)_ED(SI)_BAL(NO)_OUT(NO).csv,Caso 3,"{'kernel': 'poly', 'C': 0.5, 'degree': 3}",0.5443396226415095,0.5645511252093077,0.37762567964138233,0.38683648998983744
dataset_CC(SI)_ED(SI)_BAL(NO)_OUT(SI).csv,Caso 1,"{'kernel': 'linear', 'C': 1}",0.5164835164835165,0.26244075829383884,0.3236353077816493,0.287136084857732
dataset_CC(SI)_ED(SI)_BAL(NO)_OUT(SI).csv,Caso 2,"{'kernel': 'rbf', 'C': 1}",0.5871271585557299,0.4933598580701405,0.4008536585365854,0.4048074029579514
dataset_CC(SI)_ED(SI)_BAL(NO)_OUT(SI).csv,Caso 3,"{'kernel': 'poly', 'C': 0.5, 'degree': 3}",0.5243328100470958,0.44880667578036004,0.33647154471544716,0.32807946331318194
dataset_CC(SI)_ED(SI)_BAL(SI)_OUT(NO).csv,Caso 1,"{'kernel': 'linear', 'C': 1}",0.5040257648953301,0.48836016401439414,0.507671504420774,0.4896914523080683
dataset_CC(SI)_ED(SI)_BAL(SI)_OUT(NO).csv,Caso 2,"{'kernel': 'rbf', 'C': 1}",0.6183574879227053,0.6063197316705562,0.6209242005558225,0.6098802001691859
dataset_CC(SI)_ED(SI)_BAL(SI)_OUT(NO).csv,Caso 3,"{'kernel': 'poly', 'C': 0.5, 'degree': 3}",0.5786366076221149,0.5927564095813154,0.5795189807412056,0.5846830397241563
dataset_CC(SI)_ED(SI)_BAL(SI)_OUT(SI).csv,Caso 1,"{'kernel': 'linear', 'C': 1}",0.5367132867132867,0.5287433084733693,0.5374229306563136,0.519192824417326
dataset_CC(SI)_ED(SI)_BAL(SI)_OUT(SI).csv,Caso 2,"{'kernel': 'rbf', 'C': 1}",0.6730769230769231,0.6588638636670917,0.676354136453029,0.6588112952433707
dataset_CC(SI)_ED(SI)_BAL(SI)_OUT(SI).csv,Caso 3,"{'kernel': 'poly', 'C': 0.5, 'degree': 3}",0.6048951048951049,0.6169684658484184,0.6073395313615664,0.608776753946185
